,A,B,C,D,E,F,G,H,I,J
0,22.721487464179024,49.037367057636295,63.98484825711371,65.82238741399505,34.250059879674936,67.22990409101413,59.094324299573096,52.14657529889259,56.87001000957722,23.48212393229335
1,41.7171875134092,0.6393671970062353,28.251323246075966,79.11242964677268,11.043121691896452,19.77618410704327,91.77962468906325,42.484776718050284,88.47598649555792,40.58437033649971
2,18.42892138417995,21.28040379188375,61.228016554062435,37.127461269062,73.21958210336368,46.37090322566023,41.456850517654864,56.48026581670214,43.050490069293225,18.78888514124175
3,40.923478415134085,17.722366048889228,35.904584652430515,64.65033549037022,86.89898505560811,53.24317704710461,37.3372080111277,93.97072879470338,25.174894755016,93.17424085617971
4,77.2700979417645,3.8382168093234137,19.871796174420766,75.39164413611664,27.92871165160662,62.40583373379182,75.41540956119279,27.986058019863492,63.62974881695611,14.62890087617097
5,13.691062928296759,58.22490364053371,90.04646367053832,67.71610663651585,24.844624879313002,32.43881618160566,46.10966094059145,23.96948876399403,30.308526698101346,26.10257429097105
6,82.50402614255309,63.93740680759087,70.80598022143897,96.49671435214366,21.388408218159384,25.71218515640735,11.772697902709028,78.80601587890811,57.85391020032069,38.75841724737848
7,35.038219643127086,84.43207889286269,71.50498675671794,40.52275574372046,80.99770228907671,81.63266057712679,84.04229473818714,94.93354758513918,58.46820840599175,87.08974750022834
8,16.05300594630026,25.86734813733077,55.11886859423368,27.043135873438317,15.811474684832639,98.06110985244585,55.98284441185826,59.01137915294178,36.276064437414725,73.41330695864468
9,13.891212281663723,62.75098197296681,82.88153494587289,95.5307469586031,54.23192972131488,95.04372534590969,92.02430669269764,26.368254808811585,74.21866790480766,26.712876593748526
10,60.575244721279276,42.80584989772499,74.41596831676169,66.84280920609393,65.6696548283636,7.8721286967200825,74.62546011061197,16.038407493581186,41.74380266940619,74.5298539434266
11,79.35997776751393,71.76030815145921,70.48321920764351,9.701406641024201,69.33824964071896,10.249903487899804,62.04564727087972,28.80498634178863,62.01300421320669,24.386168639216333
12,72.54512129054879,49.74325511518415,13.40138696926526,78.89167813494832,75.80009204335113,92.05455895267137,30.271461751641137,76.60219908652589,30.67076600530819,80.35459878284253
13,90.39494955125957,1.7676550818166659,75.77505906325524,7.7700058486078305,21.126378168017578,91.31077165794935,0.4773764469715225,22.866696530902452,86.00897740586768,78.36533090335557
14,21.912457609844303,87.94647346620832,57.046070437241404,60.37645979256049,93.75420938893684,51.59241649864526,3.977052005271331,22.330218984160442,68.89023636096705,94.32836974042563
15,93.2289432622381,42.32613360748986,80.79301573619824,1.8345973455571207,95.02252761909469,91.40058999140841,43.05956264071411,72.26414838960652,83.78916028131194,0.1408526539993904
16,23.087474739970837,23.940505436875036,95.37955700044775,81.77279569091884,22.248449736987098,99.5907472991787,24.431088891509724,12.645309947230043,94.98808564908413,27.52719909575151
17,76.45030213068854,71.19712377762148,38.571166892248364,78.74301945357918,29.018348169512965,85.74317236720812,53.65392337666728,35.83799301932654,57.724813321753686,93.03955554731822
18,70.0966513927661,55.84451587329789,2.4037527462187347,44.23565094210462,10.333497781696366,76.37830067725216,73.52608002661654,80.44688590142351,12.695879184686266,85.71778248948092
19,25.158531303447308,49.75918352452755,83.73305805803362,10.345880070354452,82.53333472449097,91.90928172689453,58.315917870202604,79.17207243436954,73.13262669974918,24.62861616085579
20,50.06011064959798,78.11594018266709,58.121643940762524,12.660093935751348,63.62779522326648,6.502321800403221,92.01936737540541,8.737224941230537,25.448184489047065,93.72782389242494
21,88.84353971173442,77.04903562450755,49.094596541879895,65.0088865545092,42.1061505675591,87.77208857988454,36.89737934953108,69.39979771537249,5.691088541083056,70.29341920334964
22,43.10565067357632,10.4804195512191,1.4413881949581486,82.37740354695924,93.83825659894173,81.31625603217417,57.62444615970688,21.191418145997844,22.788879792251482,87.26418998733182
23,84.72424150854567,28.145117018386824,12.368571639424141,51.25239213124121,57.142595688628006,58.66107211300524,30.560601904690856,58.14930104173196,77.0016983950437,95.15084324310328
24,63.3297219018776,25.24451627211508,94.38658816769623,3.2682425242984925,31.03054481310107,94.48852508798458,46.44777173422365,6.922642707706039,68.7496441712765,60.47670422428265
25,25.410371392150022,29.918229405349983,80.16994441189942,51.47649883437442,13.829169047135236,76.1278895872231,0.8976294751735447,36.60929972420133,2.963361799384434,18.617278701678018
26,12.948618563967152,66.83701439255042,14.475685946194861,30.041217672615574,67.11755062367509,6.859603796175129,67.13057940825227,49.34524989186705,30.381781253797936,26.586216520762907
27,35.18833309889454,53.73470648518167,32.72678416767687,29.013904512220822,20.41234631321003,1.2362790435160642,92.72513865840507,90.75036136289847,28.719981722433573,19.193877174431783
28,72.9456230420182,31.804081174955602,90.95617457082949,29.800384281813685,20.008920107112115,78.64383115467044,24.73003440204151,12.721995765004978,37.67756970700346,59.820493048838806
29,71.20067048586338,73.55792427308016,32.664548601627395,65.218291984643,50.952262548247504,92.38774915123261,76.32531440569699,36.266834474575425,83.15647004691085,36.24217677223789
30,22.72553607448502,41.61955446587735,70.16581662872453,22.478314058244877,49.42949686615851,45.506855937283575,95.26425491849486,47.22800252896694,37.65567046471985,14.770856382496033
31,81.35831077744622,38.63596080239159,61.110214886120296,69.11445824586971,79.03854869262571,50.261114483249195,76.22615784083168,42.36451220386199,37.50176802807466,35.99469774359283
32,71.06786198407896,26.930737350591084,66.14111056807053,77.70930861460725,55.848419576214305,65.2868840669451,77.31582201852116,8.10300810735204,59.00987187214587,7.2269944731782605
33,42.8735739208523,65.56058850615356,77.9001038782524,72.28458637749709,93.12489176546961,84.69770625437974,25.113250309511503,10.766854105214685,83.68553020644707,36.302814526150186
34,91.34960134687212,80.1776330257548,94.78968065166985,1.50099186580821,57.00562578280366,94.2365768735553,45.547312758565525,15.68093511443831,96.05660190579054,99.67307992089462
35,2.7415345327903906,44.09083442681375,31.56921693387299,5.8444320820896785,63.7539685032689,48.25306299943774,37.53010203185846,35.76879325244337,71.00366009219265,0.004305149591166124
36,28.550904050679726,35.43827292504527,65.28533614226559,76.22067177502099,44.30414133005224,39.189291439465975,57.74965733213684,24.894336722545273,71.90492504245366,83.44200753425139
37,5.254967829461332,16.4209945017869,78.19992642088079,90.77775446938819,56.35475060531905,34.417395634573055,41.34491991658871,20.4037181015438,8.619659454311158,10.73615191660381
38,70.23031416572633,74.53701507577077,64.27812407004254,62.90099532137059,52.61291817458182,94.9674609604669,79.08929722325047,92.94480688639061,62.80461562418894,22.031277417155295
39,82.3969164726953,45.50256941546774,19.91985271155552,22.074844224570978,7.282251068152046,89.39485013377532,5.651134784822043,22.35040560666578,64.54651454768374,55.01530370933217
40,50.63459327141063,77.46574707307039,41.15110347348342,75.679476383949,91.64357302568362,0.16153251978087146,33.015124994062205,10.390360680881871,64.07647653620877,95.96430978466388
41,83.02557965300412,88.60642893431088,16.531773998305987,38.00658927838442,86.38469845285583,90.50576816209639,65.91660244993543,67.99273621490124,29.04646339898399,66.05496354258631
42,85.73512042269414,69.68898836926999,92.04871813760047,45.975958317761936,53.88151435507943,17.073035616800137,16.213502002343404,93.43729441711717,19.050129122308114,15.789872594631715
43,29.563484442364086,50.76669753901668,37.79440553656196,59.76734989232098,69.21101347404769,99.15687506351729,95.41793354062712,74.69578585970609,98.51830016316464,19.93999753159581
